
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   15:00:54  DEC 06, 2025 CP=      1.875

 simulazioneTrasduttoreUltrasonicoConConcentratore--Harmonic Response (E3)     



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
    49300.       0.00000       0.00000      -1193.07       0.00000     
    49400.       0.00000       0.00000      -1189.98       0.00000     
    49500.       0.00000       0.00000      -1186.90       0.00000     
    49600.       0.00000       0.00000      -1183.83       0.00000     
    49700.       0.00000       0.00000      -1180.76       0.00000     
    49800.       0.00000       0.00000      -1177.69       0.00000     
    49900.       0.00000       0.00000      -1174.62       0.00000     
    50000.       0.00000       0.00000      -1171.56       0.00000     
    50100.       0.00000       0.00000      -1168.49       0.00000     
    50200.       0.00000       0.00000      -1165.43       0.00000     
    50300.       0.00000       0.00000      -1162.36       0.00000     
    50400.       0.00000       0.00000      -1159.30       0.00000     
    50500.       0.00000       0.00000      -1156.23       0.00000     
    50600.       0.00000       0.00000      -1153.16       0.00000     
    50700.       0.00000       0.00000      -1150.08       0.00000     
    50800.       0.00000       0.00000      -1147.00       0.00000     
    50900.       0.00000       0.00000      -1143.91       0.00000     
    51000.       0.00000       0.00000      -1140.82       0.00000     
    51100.       0.00000       0.00000      -1137.70       0.00000     
    51200.       0.00000       0.00000      -1134.56       0.00000     
    51300.       0.00000       0.00000      -1131.82       0.00000     
    51400.       0.00000       0.00000      -1128.43       0.00000     
    51500.       0.00000       0.00000      -1125.26       0.00000     
    51600.       0.00000       0.00000      -1122.09       0.00000     
    51700.       0.00000       0.00000      -1118.90       0.00000     
    51800.       0.00000       0.00000      -1115.71       0.00000     
    51900.       0.00000       0.00000      -1112.49       0.00000     
    52000.       0.00000       0.00000      -1109.25       0.00000     
    52100.       0.00000       0.00000      -1105.98       0.00000     
    52200.       0.00000       0.00000      -1102.69       0.00000     
    52300.       0.00000       0.00000      -1099.37       0.00000     
    52400.       0.00000       0.00000      -1096.02       0.00000     
    52500.       0.00000       0.00000      -1092.63       0.00000     
    52600.       0.00000       0.00000      -1089.20       0.00000     
    52700.       0.00000       0.00000      -1085.73       0.00000     
    52800.       0.00000       0.00000      -1082.22       0.00000     
    52900.       0.00000       0.00000      -1078.65       0.00000     
    53000.       0.00000       0.00000      -1075.03       0.00000     
    53100.       0.00000       0.00000      -1071.34       0.00000     
    53200.       0.00000       0.00000      -1067.59       0.00000     
    53300.       0.00000       0.00000      -1063.77       0.00000     
    53400.       0.00000       0.00000      -1059.86       0.00000     
    53500.       0.00000       0.00000      -1055.86       0.00000     
    53600.       0.00000       0.00000      -1051.77       0.00000     
    53700.       0.00000       0.00000      -1047.57       0.00000     
    53800.       0.00000       0.00000      -1043.24       0.00000     
    53900.       0.00000       0.00000      -1038.79       0.00000     
    54000.       0.00000       0.00000      -1034.18       0.00000     
    54100.       0.00000       0.00000      -1029.41       0.00000     
    54200.       0.00000       0.00000      -1024.45       0.00000     
    54300.       0.00000       0.00000      -1019.28       0.00000     
    54400.       0.00000       0.00000      -1013.87       0.00000     
    54500.       0.00000       0.00000      -1008.20       0.00000     
    54600.       0.00000       0.00000      -1002.22       0.00000     
    54700.       0.00000       0.00000      -995.895       0.00000     
    54800.       0.00000       0.00000      -989.167       0.00000     
    54900.       0.00000       0.00000      -981.974       0.00000     
    55000.       0.00000       0.00000      -974.239       0.00000     
    55100.       0.00000       0.00000      -965.869       0.00000     
    55200.       0.00000       0.00000      -956.744       0.00000     
    55300.       0.00000       0.00000      -946.719       0.00000     
    55400.       0.00000       0.00000      -935.602       0.00000     
    55500.       0.00000       0.00000      -923.150       0.00000     
    55600.       0.00000       0.00000      -909.039       0.00000     
    55700.       0.00000       0.00000      -892.831       0.00000     
    55800.       0.00000       0.00000      -873.924       0.00000     
    55900.       0.00000       0.00000      -851.459       0.00000     
    56000.       0.00000       0.00000      -824.169       0.00000     
    56100.       0.00000       0.00000      -790.112       0.00000     
    56200.       0.00000       0.00000      -746.138       0.00000     
    56300.       0.00000       0.00000      -686.792       0.00000     
    56400.       0.00000       0.00000      -601.720       0.00000     
    56500.       0.00000       0.00000      -468.587       0.00000     
    56600.       0.00000       0.00000      -228.693       0.00000     
    56700.       0.00000       0.00000       337.868       0.00000     
    56800.       0.00000       0.00000       3377.56       0.00000     
