!Keysight Technologies,E4990A,MY54403861,A.04.00
!Date: Wed Mar 26 11:24:29 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+9.93537500000e+005, +5.39041301014e+000, -1.58649460341e+001
+9.93650000000e+005, +5.36999759426e+000, -1.36474240005e+001
+9.93762500000e+005, +5.35793360912e+000, -1.14148987356e+001
+9.93875000000e+005, +5.35551425949e+000, -9.16388863766e+000
+9.93987500000e+005, +5.36202154394e+000, -6.90342261506e+000
+9.94100000000e+005, +5.37719692158e+000, -4.64891245351e+000
+9.94212500000e+005, +5.40179242144e+000, -2.41068297860e+000
+9.94325000000e+005, +5.43526819549e+000, -1.89641513139e-001
+9.94437500000e+005, +5.47725070213e+000, +2.01347794689e+000
+9.94550000000e+005, +5.52863568808e+000, +4.18505434114e+000
+9.94662500000e+005, +5.58798584287e+000, +6.31438054204e+000
+9.94775000000e+005, +5.65651533541e+000, +8.40461866302e+000
+9.94887500000e+005, +5.73341586919e+000, +1.04408436350e+001
+9.95000000000e+005, +5.81886499865e+000, +1.24195270787e+001
+9.95112500000e+005, +5.91188136889e+000, +1.43446463678e+001
+9.95225000000e+005, +6.01246141167e+000, +1.62056622439e+001
+9.95337500000e+005, +6.12012098536e+000, +1.79952882172e+001
+9.95450000000e+005, +6.23454648039e+000, +1.97310673445e+001
+9.95562500000e+005, +6.35542576128e+000, +2.13959084134e+001
